publishedAt,authorDisplayName,textDisplay,likeCount
2024-10-22T17:52:37Z,@AnistiyaEka-hk9tp,P😊,0
2024-10-22T17:44:55Z,@SekelJaya,"semoga NKRI, Negara indonesia kedapan slalu tertib dan lebih mengutamakan kesejateraan rakyat dan jangan mau ikut campur terhadap Perang yg terkadi di luar negara, supaya NKRI Cinta damai, agama,suku dan adat dalam negara tampa membeda bedakan satu sama lain, utamakan Rakyat kita PAK kedepan, Indonesia tanah air KU, Hidup Rakyat Indonesia bersama",0
2024-10-22T17:08:56Z,@Melaniemylove-q2t,Waaah bener2 baru kalii ini liat pemimpin hafal nama2 pemimpin negara tanpa text book...bangga banget punya Presiden seperti beliau,4
2024-10-22T17:06:26Z,@wendaperanginangin8592,Selamat pak prabowo dan pak gibran semoga apa yg di pidato Bpk itu kelak akan di jalankan ya pak.,0
2024-10-22T17:02:15Z,@WieGengNdu,"Terima kasih pak jokowi- pak makruf Amin 🙏🙏<br>Selamat bertugas pak prabowo- pak gibran 🙏🙏<br>Semoga Indonesia akan terus lebih baik Lagi, Aamiin 🤲",0
2024-10-22T16:27:18Z,@djesical5564,Presiden yang baru.ibu negara nya siapa Pak?? 😭,0
2024-10-22T16:12:20Z,@VienZlicksy,"Lanjutkan....!<br>Arisman hulu<br>Jangan kuatir ,dan jgn di lupa,in.",0
2024-10-22T16:12:07Z,@njirmoment2399,"<a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=4754"">1:19:14</a> woakwoakwoakwkaowka",0
2024-10-22T16:02:09Z,@igarzohari3900,"selamat menjalankan tugas pak Prabowo , semoga janji yang bapak janjikan bisa terlaksanakan ,amin",0
2024-10-22T15:49:26Z,@alpalp717,"Congratulations  New, My President 2024 -  2029. Bapak. Prabowo Subianto.  Insyaallah dengan Nama Allah SWT, dengan kepemimpinan Bapak, Nanti, Indonesia, akan lebih Maju, dan berani&#39; untuk menjadi Negara Besar. 🎉🎉 Success selalu Buat Bapak. Allah always Blessings You.",8
2024-10-22T15:16:22Z,@adbdb,"<a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=8168"">2:16:08</a> dari sini bisa diliat Indonesia yang bisa bersahabat dan cukup berdaulat.<br><br><a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=8670"">2:24:30</a> siapa tuh?<br><br><a href=""https://www.youtube.com/watch?v=0LYmM9TgR8I&amp;t=10080"">2:48:00</a> mm, yg ini ga setuju pak, bayang2 gerr masih gantungin &quot;saya menang&quot;",0
2024-10-22T14:41:06Z,@SimonLandu-p2h,Luar biasa pak Prabowo Subianto presiden rakyat Indonesia,0
2024-10-22T14:35:55Z,@rahmawatipatau9585,Wakil presiden ku admin akun fufufafa?😂,0
2024-10-22T14:33:06Z,@suzykerjapy8807,Terima kasih Bapak Jokowi dan Ibu Iriana untuk segalanya 🙏🙏🙏🙏❤❤❤❤..Tuhan memberkati Bapak dan Ibu selalu❤😇,0
2024-10-22T14:25:01Z,@satriapandawa6648,Presidenku 🇮🇩,1
2024-10-22T14:24:47Z,@khanzaaiyraziyan1388,Selamat semoga gak balikan lagi sama istri y inti y ..,0
2024-10-22T14:21:05Z,@HamZah-q4g,"Program pemerintah pusat sangat sangat luas biasa .... tetapi yg harus di awasi ... pemerintah provinsi.. daerah.. serta desa&#39; desa ...agar perokgeram memerintah pusat pas ke sasaran nya ... kadang kala.. mereka koropsi serta yg kena sumbangan kelompok tertentu..atau keluarga nya sendiri saja .,",0
2024-10-22T14:21:00Z,@misbasormin2099,Smgh sht terus pak dan saya doakan smgh jg bpk dan ibu Titiek bersatu kembali,0
2024-10-22T14:10:52Z,@josepirawan1417,Baru kali ini gua bangga Punya Presiden..🤩,2
2024-10-22T14:07:12Z,@litashelyamelia3026,"Alhamdulillah Pak Prabowo akhirnya, flashback ke kisah hidup beliau, ku terharu Pak Prabowo sampai di titik ini. Semoga amanah Pak. Aamiin",0
2024-10-22T13:59:15Z,@imambasori279,"Alhamdulillah, bapak PRABOWO akhirnya menjadi PRESIDEN RI, ❤🤲🤲🤲🇮🇩👍💪🙏🎉🎉🎉🤝",0
